"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Requirements of an Energy Data Ecosystem","A. Immonen; J. Kalaoja","VTT Technical Research Centre of Finland, Oulu, Finland; VTT Technical Research Centre of Finland, Oulu, Finland",IEEE Access,"21 Aug 2019","2019","7","","111692","111708","Digitalization is strongly entering new application domains around the world, thus also entering people's everyday lives. Digitalization enables creating new kinds of businesses, but it also changes the way services, applications and data are provided and consumed. We carried out interviews with company representatives acting in the energy domain to receive up-to-date information about the companies' awareness of digitalization, and the required changes they have identified in their future business scenarios. The interviewed companies were aware of the change pressure caused by digitalization, and especially the data exchange with other domain actors, predictions using data, new data-based services and data-based decision making were identified as key issues. However, currently there is a lack of digital infrastructure enabling the actors in the energy domain to perform data-based co-operation. The purpose of this paper is to identify the requirements for an energy data ecosystem that enables the companies in the energy domain to reach their business goals and to co-operate in data-based business. The initial goal is to identify the future tasks and goals of energy domain actors and define the type of co-operation environment, including knowledge management models and supporting services, required to support them. The research was implemented with industry actors in the energy domain that represent several different roles in energy markets, and the results of the research were also validated among the industry.","2169-3536","","10.1109/ACCESS.2019.2933919","National Strategic Research Project, Energy Data Ecosystem and Services; Business Finland, the VTT Technical Research Centre of Finland and Finnish companies; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8792061","Data ecosystem;data-based business;knowledge management models;energy domain;requirements specification","Ecosystems;Biological system modeling;Industries;Companies;Europe;Monitoring","","10","","24","CCBY","8 Aug 2019","","","IEEE","IEEE Journals"
"A Global Manufacturing Big Data Ecosystem for Fault Detection in Predictive Maintenance","W. Yu; T. Dillon; F. Mostafa; W. Rahayu; Y. Liu","Department of Computer Science and Information Technology, La Trobe University, Melbourne, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, Australia",IEEE Transactions on Industrial Informatics,"8 Jan 2020","2020","16","1","183","192","Artificial intelligence, big data, machine learning, cloud computing, and Internet of Things (IoT) are terms which have driven the fourth industrial revolution. The digital revolution has transformed the manufacturing industry into smart manufacturing through the development of intelligent systems. In this paper, a big data ecosystem is presented for the implementation of fault detection and diagnosis in predictive maintenance with real industrial big data gathered directly from large-scale global manufacturing plants, aiming to provide a complete architecture which could be used in industrial IoT-based smart manufacturing in an industrial 4.0 system. The proposed architecture overcomes multiple challenges including big data ingestion, integration, transformation, storage, analytics, and visualization in a real-time environment using various technologies such as the data lake, NoSQL database, Apache Spark, Apache Drill, Apache Hive, OPC Collector, and other techniques. Transformation protocols, authentication, and data encryption methods are also utilized to address data and network security issues. A MapReduce-based distributed PCA model is designed for fault detection and diagnosis. In a large-scale manufacturing system, not all kinds of failure data are accessible, and the absence of labels precludes all the supervised methods in the predictive phase. Furthermore, the proposed framework takes advantage of some of the characteristics of PCA such as its ease of implementation on Spark, its simple algorithmic structure, and its real-time processing ability. All these elements are essential for smart manufacturing in the evolution to Industry 4.0. The proposed detection system has been implemented into the real-time industrial production system in a cooperated company, running for several years, and the results successfully provide an alarm warning several days before the fault happens. A test case involving several outages in 2014 is reported and analyzed in detail during the experiment section.","1941-0050","","10.1109/TII.2019.2915846","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8710319","Big data analytics;cloud computing;fault detection;Internet of Things (IoT);Industry 4.0;manufacturing ecosystem;predictive maintenance (PdM)","Big Data;Manufacturing;Predictive maintenance;Ecosystems;Computer architecture;Real-time systems;Cloud computing","","146","","28","IEEE","9 May 2019","","","IEEE","IEEE Journals"
"MapChain: A Blockchain-Based Verifiable Healthcare Service Management in IoT-Based Big Data Ecosystem","U. Demirbaga; G. S. Aujla","Department of Medicine, University of Cambridge, Cambridge, U.K.,; Department of Computer Science, Durham University, Durham, U.K",IEEE Transactions on Network and Service Management,"1 Feb 2023","2022","19","4","3896","3907","Internet of Things (IoT)-based Healthcare services, which are becoming more widespread today, continuously generate huge amounts of data which is often called big data. Due to the magnitude and intricacy of the data, it is difficult to find valuable information that can be used for decision-making and prediction. Big data systems take on a significant infrastructure service to better serve the purpose of IoT systems and support critical decision making. On the other hand, privacy preservation, data integrity, and identity verification are essential requirements in healthcare big data service management. To overcome these problems, this article offers a scalable computing system that provides verifiable data access mechanism for IoT-enabled health data analytics in the big data ecosystem. There are two primary sub-architectures in the proposed architecture, namely a big data analytics tracking system and a derived blockchain-based data storage/access system. This approach leverages big data systems and blockchain architecture to analyze, and securely store data from IoT-enabled devices and allow verified access to the stored data. The zero-knowledge protocol is used to ensure that no information is accessible to unauthenticated users alongside avoiding data linkability. The results demonstrate the effectiveness of the our method to solve the problems of big data analytics and privacy issues in healthcare.","1932-4537","","10.1109/TNSM.2022.3204851","Republic of Türkiye Ministry of National Education and partially funded through Durham University Start Up Grant(grant numbers:090614); Durham University SeedCorn Grant(grant numbers:RQ090002); Umit Demirbaga is fully; University of Cambridge, U.K; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878261","Big data;Internet of Things (IoT);MapReduce;blockchain;healthcare","Medical services;Big Data;Data privacy;Blockchains;Data integrity;Cloud computing;Internet of Things","","25","","49","IEEE","6 Sep 2022","","","IEEE","IEEE Journals"
"Shaping the Future of Data Ecosystem Research—What Is Still Missing?","T. Brée; E. Karger; F. Ahlemann","Chair of Information Systems and Strategic IT Management, University of Duisburg-Essen, Essen, Germany; Chair of Information Systems and Strategic IT Management, University of Duisburg-Essen, Essen, Germany; Chair of Information Systems and Strategic IT Management, University of Duisburg-Essen, Essen, Germany",IEEE Access,"1 Aug 2024","2024","12","","103162","103175","To share data, more and more companies work together in interorganizational networks called data ecosystems (DEs). Research on DEs has grown significantly over the past ten years. Owing to the research field’s recent growth, interested scholars and practitioners might find it difficult to keep up to date with the diverse research field dealing with DEs. In this article, we conduct the first bibliometric study on DE research and collect and quantitatively analyze the research within this field. As a result, we come up with a synthesized overview of the most relevant research constituents. Furthermore, we analyze the thematic structure of DE research and show the most frequently addressed topics and key themes. We found that DE research can be divided into five different thematic clusters. Based on these results, we finally develop a future research agenda that can help advance research on DEs and guide interested scholars. As such, our article summarizes and consolidates the existing knowledge on DEs and provides suggestions for its further development.","2169-3536","","10.1109/ACCESS.2024.3432969","Open Access Publication Fund of the University of Duisburg-Essen; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10608112","Bibliometric review;data ecosystem;data sharing;interorganizational network;quantitative analysis","Bibliometrics;Ecosystems;Reviews;Companies;Standards organizations;Data integrity;Systematics","","","","103","CCBY","24 Jul 2024","","","IEEE","IEEE Journals"
"Secure Development of Big Data Ecosystems","J. Moreno; E. B. Fernandez; M. A. Serrano; E. Fernández-Medina","GSyA Research Group, University of Castilla-La Mancha, Ciudad Real, Spain; Computer and Electrical Engineering and Computer Science Department, Florida Atlantic University, Boca Raton, FL, USA; Alarcos Research Group, University of Castilla-La Mancha, Ciudad Real, Spain; GSyA Research Group, University of Castilla-La Mancha, Ciudad Real, Spain",IEEE Access,"31 Jul 2019","2019","7","","96604","96619","A Big Data environment is a powerful and complex ecosystem that helps companies extract important information from data to make the best business and strategic decisions. In this context, due to the quantity, variety, and sensitivity of the data managed by these systems, as well as the heterogeneity of the technologies involved, privacy and security especially become crucial issues. However, ensuring these concerns in Big Data environments is not a trivial issue, and it cannot be treated from a partial or isolated perspective. It must be carried out through a holistic approach, starting from the definition of requirements and policies, and being present in any relevant activity of its development and deployment. Therefore, in this paper, we propose a methodological approach for integrating security and privacy in Big Data development based on main standards and common practices. In this way, we have defined a development process for this kind of ecosystems that considers not only security in all the phases of the process but also the inherent characteristics of Big Data. We describe this process through a set of phases that covers all the relevant stages of the development of Big Data environments, which are supported by a customized security reference architecture (SRA) that defines the main components of this kind of systems along with the key concepts of security.","2169-3536","","10.1109/ACCESS.2019.2929330","Ministerio de Economía y Competitividad; Dirección General de Universidades e Investigación(grant numbers:SBPLY-17-180501-000202); Programa Operativo Regional FEDER 2014/2020; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8765314","Big Data;security by design;secure development;security patterns;security reference;architecture","Security;Big Data;Ecosystems;Proposals;Data privacy;Unified modeling language;Computer architecture","","11","","75","CCBY","17 Jul 2019","","","IEEE","IEEE Journals"
"An Edge Intelligent Blockchain-Based Reputation System for IIoT Data Ecosystem","S. Khezr; A. Yassine; R. Benlamri; M. S. Hossain","Department of Electrical and Computer Engineering, Lakehead University, Thunder Bay, ON, Canada; Department of Software Engineering, Lakehead University, Thunder Bay, ON, Canada; University of Doha for Science and Technology, Doha, Qatar; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia",IEEE Transactions on Industrial Informatics,"19 Sep 2022","2022","18","11","8346","8355","Industrial Internet of Things (IIoT) devices generate and collect massive amounts of industrial data. Monetizing the flood of data generated by the IIoT devices has enabled the creation of the IIoT data ecosystem, where individuals and businesses may trade data. With the rapid expansion of the online data trading industry, the necessity for an edge intelligent reputation system is becoming increasingly important as more individuals and services connect online. In recent years, researchers have proposed blockchain-based reputation systems as a means of offering anonymity, security, transparency, and mutual trust for both providers and customers in Industry 4.0. Unfortunately, they focus on the decentralized reputation system with a single certificate authority, which creates the concern of a single point of failure (SPOF). Moreover, researchers paid little attention to the performance measures of these blockchain-based reputation systems to demonstrate their usability in a real IIoT data ecosystem. This article proposes a robust edge intelligent blockchain-based reputation system capable of avoiding failures by enhancing the Raft consensus mechanism. We provide extensive security analysis and simulation experiments to demonstrate the performance of the blockchain-based reputation system for the IIoT data ecosystem using different metrics, such as transaction throughput, latency, and resource consumption.","1941-0050","","10.1109/TII.2022.3174065","Researchers Supporting Project(grant numbers:RSP-2023/32); King Saud University, Riyadh, Saudi Arabia; Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9772423","Blockchain;data trading;edge intelligence;industrial Internet of Things (IIoT);performance evaluation;reputation;security","Industrial Internet of Things;Ecosystems;Security;Fourth Industrial Revolution;Blockchains;Informatics;Usability","","16","","29","IEEE","10 May 2022","","","IEEE","IEEE Journals"
"Key Stakeholders’ Value Propositions for Feature Selection in Software-Intensive Products: An Industrial Case Study","P. Rodríguez; E. Mendes; B. Turhan","University of Oulu, Oulu, Finland; Blekinge Institute of Technology, Sweden; Monash University, Melbourne, VIC, Australia",IEEE Transactions on Software Engineering,"10 Dec 2020","2020","46","12","1340","1363","Numerous software companies are adopting value-based decision making. However, what does value mean for key stakeholders making decisions? How do different stakeholder groups understand value? Without an explicit understanding of what value means, decisions are subject to ambiguity and vagueness, which are likely to bias them. This case study provides an in-depth analysis of key stakeholders' value propositions when selecting features for a large telecommunications company's software-intensive product. Stakeholders' value propositions were elicited via interviews, which were analyzed using Grounded Theory coding techniques (open and selective coding). Thirty-six value propositions were identified and classified into six dimensions: customer value, market competitiveness, economic value/profitability, cost efficiency, technology & architecture, and company strategy. Our results show that although propositions in the customer value dimension were those mentioned the most, the concept of value for feature selection encompasses a wide range of value propositions. Moreover, stakeholder groups focused on different and complementary value dimensions, calling to the importance of involving all key stakeholders in the decision making process. Although our results are particularly relevant to companies similar to the one described herein, they aim to generate a learning process on value-based feature selection for practitioners and researchers in general.","1939-3520","","10.1109/TSE.2018.2878031","Finnish Funding Agency for Technology and Innovation(grant numbers:40150/14); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8509148","Value-based software engineering (VBSE);feature selection;release planning;decision-making;value proposition;stakeholder analysis;key stakeholders;software-intensive systems;case study;grounded theory","Stakeholders;Software engineering;Feature extraction;Decision making;Economics","","16","","70","IEEE","25 Oct 2018","","","IEEE","IEEE Journals"
"Fetching Ecosystem Monitoring Data in Extreme Areas via a Drone-Enabled Internet of Remote Things","M. Zhang; L. Zhang; C. Zhao; R. Jin; J. Guo; X. Li","School of Computer and Communication, Lanzhou University of Technology, Lanzhou, China; School of Life Sciences, Lanzhou University, Lanzhou, China; School of Life Sciences, Lanzhou University, Lanzhou, China; Key Laboratory of Remote Sensing of Gansu Province, Northwest Institute of Eco-Environment and Resources, Chinese Academy of Sciences, Lanzhou, China; Key Laboratory of Remote Sensing of Gansu Province, Northwest Institute of Eco-Environment and Resources, Chinese Academy of Sciences, Lanzhou, China; National Tibetan Plateau Data Center, State Key Laboratory of Tibetan Plateau Earth System, Environment and Resources, Institute of Tibetan Plateau Research, Chinese Academy of Sciences, Beijing, China",IEEE Internet of Things Journal,"7 Dec 2022","2022","9","24","25052","25067","Ecosystem monitoring involves fully understanding the complex interactions of ecosystem progress and providing massive scientific data to answer research questions. Fetching data in extreme areas without a public network largely relies on human efforts. Along with the ongoing advances of the Internet of Things (IoT), the Internet of Remote Things (IoRT), as a new paradigm, is being pursued. In this article, we improve the previous drone-enabled IoRT system and innovatively integrate the system with ecological monitoring devices for wildlife, phenology and environmental monitoring, and the monitored data are remotely retrieved by drones. The experimental results indicate that the data transmission rate between the drone relay and the terrestrial terminal reaches up to 10–15 MB/s. Experiments further demonstrate that in terms of wildlife monitoring, the required time to retrieve an image cached on a terrestrial terminal is approximately 0.35 s, the time required to transfer a set of phenology data is 0.29 and 0.34 s, and in regard to environmental monitoring data, the average time consumption reaches approximately 0.0302 s. Moreover, we introduce a signal strength-based priority strategy that can reduce the time consumption of data transmission between the drone relay and the terrestrial terminal. The demonstrated applications reveal that monitoring devices deployed in remote extreme regions can be connected in the IoRT network, and the way to retrieve data from these deployed devices is being revolutionized by the drone-enabled IoRT network.","2327-4662","","10.1109/JIOT.2022.3195302","Strategic Priority Research Program of the Chinese Academy of Science(grant numbers:XDA19070104); NSFC(grant numbers:41988101); Science and Technology Program of Gansu Province(grant numbers:21JR7RA248); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9845702","Data fetching;drone relay;ecosystem monitoring;extreme areas;Internet of Remote Things (IoRT)","Monitoring;Drones;Internet of Things;Ecosystems;Wildlife;Cameras","","8","","43","IEEE","1 Aug 2022","","","IEEE","IEEE Journals"
"ResNeTS: A ResNet for Time Series Analysis of Sentinel-2 Data Applied to Grassland Plant-Biodiversity Prediction","Á. G. Dieste; F. Argüello; D. B. Heras; P. Magdon; A. Linstädter; O. Dubovyk; J. Muro","Singular Research Center on Intelligent Technologies (CiTIUS), University of Santiago de Compostela, Santiago de Compostela, Spain; Department of Electronics and Computing, University of Santiago de Compostela, Santiago de Compostela, Spain; Singular Research Center on Intelligent Technologies (CiTIUS), University of Santiago de Compostela, Santiago de Compostela, Spain; University of Applied Sciences and Arts (HAWK), Göttingen, Germany; Biodiversity Research/Systematic Botany, University of Potsdam, Potsdam, Germany; Department of Earth System Sciences, Geography Institute, University of Hamburg, Hamburg, Germany; Institute of Farm Economics, Thünen Institute, Braunschweig, Germany",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"2 Oct 2024","2024","17","","17349","17370","Analyzing time series from remote sensing data can aid in understanding spectral-temporal phenomena in ecosystems, such as the seasonal variation of plant components. Lately, deep learning has emerged as a strong method for mapping environmental variables from this data due to its exceptional predictive capabilities. This work studies the adaptation of the ResNet computer vision architecture for time series analysis of Sentinel-2 data. The resulting deep learning architecture, ResNeTS, stacks sequential convolutions to build a deep and narrow network, aligning with the design principles of leading convolutional architectures in computer vision. Experiments were carried out for predicting different plant-biodiversity indices, namely, species richness, and Shannon and Simpson indices, for temperate grassland ecosystems. The results show that ResNeTS can achieve moderate improvements in terms of accuracy compared to other state-of-the-art architectures, such as InceptionTime (up to +0.021 $r^{2}$), with reduced computational costs owing to its streamlined architecture.","2151-1535","","10.1109/JSTARS.2024.3454271","Xunta de Galicia - Consellería de Cultura, Educación, Formación Profesional e Universidades(grant numbers:ED481A-2022/257); German Research Foundation(grant numbers:1374); Project Sensing Biodiversity Across Scales(grant numbers:DU 1596/1-1,LI 1842/4-1); Agencia Estatal de Investigación, Government of Spain; European Union NextGenerationEU/PRTR(grant numbers:PID2022-141623NB-I00,TED2021-130367B-I00); Xunta de Galicia - Consellería de Cultura, Educación, Formación Profesional e Universidades; Galician Research Center accreditation(grant numbers:ED431G-2019/04); Reference Competitive Group accreditation(grant numbers:ED431C-2022/16); European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10664042","Biodiversity prediction;deep learning;multispectral imaging;remote sensing;residual network (ResNet);sentinel-2;time series analysis","Time series analysis;Biodiversity;Remote sensing;Computer architecture;Grasslands;Long short term memory;Europe","","","","93","CCBYNCND","3 Sep 2024","","","IEEE","IEEE Journals"
